"sp","migrant","area","HWI","family"
"Icterus_parisorum","Migrant",176.449084410579,42.5985151102049,"Icteridae"
"Icterus_pectoralis","Non-migrant",17.3909629363399,31.3833782427317,"Icteridae"
"Icterus_portoricensis","Non-migrant",0.749519594002589,35.0734190316666,"Icteridae"
"Icterus_prosthemelas","Non-migrant",37.3482512220476,36.9023563540743,"Icteridae"
"Icterus_pustulatus","Non-migrant",47.8895312045934,31.3924461954188,"Icteridae"
"Icterus_pyrrhopterus","Non-migrant",568.678321285627,30.5365720472048,"Icteridae"
"Icterus_spurius","Migrant",653.581515457442,38.7057030244905,"Icteridae"
"Icterus_wagleri","Migrant",66.7189993395034,37.2307094326102,"Icteridae"
"Junco_bairdi","Non-migrant",0.424210952819331,32.2037216514828,"Passerellidae"
"Junco_hyemalis","Migrant",2026.47573801041,39.5165650091303,"Passerellidae"
"Junco_insularis","Non-migrant",0.023224079727048,33.2436441177164,"Passerellidae"
"Junco_phaeonotus","Non-migrant",46.9938480889871,35.9610973965608,"Passerellidae"
"Junco_vulcani","Non-migrant",0.085244845723836,27.6221892357518,"Passerellidae"
"Lampropsar_tanagrinus","Non-migrant",198.364987423276,29.3020853318506,"Icteridae"
"Lamprospiza_melanoleuca","Non-migrant",277.217285692692,40.956269426714,"Mitrospingidae"
"Lanio_aurantius","Non-migrant",21.1013707130774,30.2410340294224,"Thraupidae"
"Lanio_fulvus","Non-migrant",186.003784007109,34.2804872895834,"Thraupidae"
"Lanio_leucothorax","Non-migrant",7.66908504067619,27.2495891289534,"Thraupidae"
"Lanio_versicolor","Non-migrant",232.423259372994,40.4084203123843,"Thraupidae"
"Leistes_bellicosus","Non-migrant",29.0574182165671,38.7466995948961,"Icteridae"
"Leistes_loyca","Migrant",189.087958295288,38.2535951431992,"Icteridae"
"Leistes_militaris","Non-migrant",301.44026065749,33.354617617258,"Icteridae"
"Leistes_superciliaris","Migrant",579.391954370541,37.6850054643954,"Icteridae"
"Limnothlypis_swainsonii","Migrant",164.190064829419,40.9249580970846,"Parulidae"
"Lophospingus_griseocristatus","Non-migrant",7.29884050039859,28.2693217659273,"Thraupidae"
"Loxigilla_noctis","Non-migrant",0.519602303130139,31.432948223801,"Thraupidae"
"Macroagelaius_subalaris","Non-migrant",3.28622534213879,36.2946590614467,"Icteridae"
"Melospiza_georgiana","Migrant",1214.61885819075,30.8301189536811,"Passerellidae"
"Melospiza_lincolnii","Migrant",1926.8098913683,40.2705051702712,"Passerellidae"
"Melospiza_melodia","Migrant",1517.6318795369,34.9521338311111,"Passerellidae"
"Melozone_aberti","Non-migrant",16.5852551645855,26.2719271953023,"Passerellidae"
"Melozone_albicollis","Non-migrant",5.4915326496508,26.8628707403657,"Passerellidae"
"Melozone_biarcuata","Non-migrant",7.22116286887673,20.2507100075992,"Passerellidae"
"Melozone_cabanisi","Non-migrant",0.103635886664784,24.0869299051117,"Passerellidae"
"Melozone_crissalis","Non-migrant",32.6439990270791,25.7226577178576,"Passerellidae"
"Melozone_fusca","Non-migrant",156.24158364583,26.0619921801807,"Passerellidae"
"Melozone_kieneri","Non-migrant",28.5446855377768,22.7948598586676,"Passerellidae"
"Microspingus_melanoleucus","Non-migrant",133.660575163749,30.9192517634827,"Thraupidae"
"Microspingus_torquatus","Non-migrant",10.3479949724203,26.1965908844927,"Thraupidae"
"Mitrospingus_cassinii","Non-migrant",13.7044605748659,25.8937441599973,"Mitrospingidae"
"Mniotilta_varia","Migrant",1294.32588297106,44.3137878496697,"Parulidae"
"Molothrus_aeneus","Migrant",223.665029896615,38.3670535072404,"Icteridae"
"Molothrus_ater","Migrant",1371.80997805821,51.0112052708286,"Icteridae"
"Molothrus_bonariensis","Non-migrant",1135.2446161967,44.2614464595912,"Icteridae"
"Molothrus_rufoaxillaris","Non-migrant",425.978840305949,39.5869451711493,"Icteridae"
"Myioborus_brunniceps","Non-migrant",9.98668672233512,28.2412466382603,"Parulidae"
"Myioborus_flavivertex","Non-migrant",0.436256421905562,28.0828197226502,"Parulidae"
"Myioborus_melanocephalus","Non-migrant",15.3320591861352,29.1245355892992,"Parulidae"
"Myioborus_miniatus","Non-migrant",105.633227890892,30.780726325618,"Parulidae"
"Myioborus_ornatus","Non-migrant",3.23572846778446,29.0964305280995,"Parulidae"
"Myioborus_pictus","Migrant",101.548864821275,34.6310291492773,"Parulidae"
"Myioborus_torquatus","Non-migrant",0.433161046043357,30.983386376829,"Parulidae"
"Myiothlypis_basilica","Non-migrant",0.071725946142551,29.1724061644293,"Parulidae"
"Myiothlypis_bivittata","Non-migrant",9.85442912784547,23.2043315862414,"Parulidae"
"Myiothlypis_cinereicollis","Non-migrant",2.97298859838646,29.4608522988851,"Parulidae"
"Myiothlypis_conspicillata","Non-migrant",0.577453121691962,31.6108981376565,"Parulidae"
"Myiothlypis_coronata","Non-migrant",34.3291937929059,25.7181326171438,"Parulidae"
"Myiothlypis_flaveola","Non-migrant",343.949552329136,27.0970126571829,"Parulidae"
"Myiothlypis_fulvicauda","Non-migrant",202.448185109134,32.7533528983547,"Parulidae"
"Myiothlypis_leucoblephara","Non-migrant",143.558937289849,28.3801993306138,"Parulidae"
